Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Stock
2013-12-03,ICICIBANK,EQ,1088.3,1085.85,1099.7,1079.05,1085.0,1085.4,1089.33,2504558,272828575310000.0,64447.0,1099132.0,0.4389,ICICIBANK
2013-12-04,ICICIBANK,EQ,1085.4,1078.4,1078.4,1060.25,1072.35,1066.25,1067.29,2924097,312087208480000.0,80537.0,1370714.0,0.4688,ICICIBANK
2013-12-05,ICICIBANK,EQ,1066.25,1108.5,1140.5,1108.5,1136.9,1135.85,1129.74,7894018,891816913540000.0,178107.0,5172286.0,0.6552,ICICIBANK
2013-12-06,ICICIBANK,EQ,1135.85,1135.4,1147.6,1122.9,1143.1,1143.9,1137.16,3338406,379630884355000.0,71843.0,1775591.0,0.5319,ICICIBANK
2013-12-09,ICICIBANK,EQ,1143.9,1200.0,1206.6,1191.1,1194.8,1201.7,1199.81,6164112,739576597350000.0,134598.0,3904570.0,0.6334000000000001,ICICIBANK
2013-12-10,ICICIBANK,EQ,1201.7,1200.0,1203.1,1153.8,1159.0,1158.35,1169.74,4975520,582006941610000.0,147690.0,3284349.0,0.6601,ICICIBANK
2013-12-11,ICICIBANK,EQ,1158.35,1148.0,1172.8,1141.05,1169.0,1158.35,1151.17,2950519,339653561360000.0,107961.0,1449727.0,0.4913,ICICIBANK
2013-12-12,ICICIBANK,EQ,1158.35,1155.05,1156.0,1128.3,1133.6,1132.6,1141.83,2646372,302169623710000.0,81318.0,1368311.0,0.5171,ICICIBANK
2013-12-13,ICICIBANK,EQ,1132.6,1115.0,1115.0,1080.0,1089.05,1085.0,1094.37,4610290,504538478385000.06,150737.0,2826784.0,0.6131000000000001,ICICIBANK
2013-12-16,ICICIBANK,EQ,1085.0,1089.0,1103.95,1085.0,1095.1,1097.55,1097.45,2075907,227819582455000.03,67960.0,704071.0,0.3392,ICICIBANK
2013-12-17,ICICIBANK,EQ,1097.55,1110.0,1121.5,1090.15,1091.3,1098.3,1108.21,2409047,266972714685000.0,71908.0,1123242.0,0.4663,ICICIBANK
2013-12-18,ICICIBANK,EQ,1098.3,1088.4,1132.7,1081.55,1103.55,1095.8,1104.46,7305437,806858718955000.0,115945.0,3989599.0,0.5461,ICICIBANK
